,NAME_MUNICIPIO,CODE_SEF-MG,MUNICIPIO
381,TIBAGI,294,7923
382,TIJUCAS DO SUL,295,7925
383,TOLEDO,296,7927
384,TOMAZINA,297,7929
385,TRES BARRAS DO PARANA,298,7987
386,TUNAS DO PARANA,365,5455
387,TUNEIRAS DO OESTE,299,7931
388,TUPASSI,300,7993
389,TURVO,301,8453
390,UBIRATA,302,7933
391,UMUARAMA,303,7935
392,UNIAO DA VITORIA,304,7937
393,UNIFLOR,305,7939
394,URAI,306,7941
395,VENTANIA,366,5497
396,VERA CRUZ DO OESTE,308,7989
397,VERE,309,7945
398,VIRMOND,368,5483
399,VITORINO,310,7947
400,WENCESLAU BRAZ,307,7943
401,XAMBRE,311,7949
